"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.283062077E0,4.399999976E-1,-7.179999948E-1,9.767999649E0,9.804230777E0
2.293054231E0,5.070000291E-1,-7.179999948E-1,9.796999931E0,9.836349967E0
2.303052769E0,4.499999881E-1,-6.600000262E-1,9.826000214E0,9.858416720E0
2.313050154E0,4.779999852E-1,-7.469999790E-1,9.826000214E0,9.865940054E0
2.323059615E0,5.170000196E-1,-7.659999728E-1,9.854000092E0,9.897240160E0
2.333054231E0,4.880000055E-1,-7.179999948E-1,9.873999596E0,9.912090396E0
2.343051769E0,5.170000196E-1,-7.080000043E-1,9.854000092E0,9.892920238E0
2.353057846E0,4.779999852E-1,-7.369999886E-1,9.873999596E0,9.912997578E0
2.363052154E0,4.690000117E-1,-7.369999886E-1,9.826000214E0,9.864755962E0
2.373051461E0,5.070000291E-1,-7.749999762E-1,9.786999702E0,9.830719057E0
2.383049615E0,5.170000196E-1,-6.790000200E-1,9.987999916E0,1.002439387E1
2.393051769E0,5.070000291E-1,-7.179999948E-1,9.786999702E0,9.826389785E0
2.403069385E0,4.589999914E-1,-6.600000262E-1,9.807000160E0,9.839894978E0
2.413055769E0,4.880000055E-1,-7.179999948E-1,9.767999649E0,9.806502187E0
2.423050846E0,4.690000117E-1,-7.080000043E-1,9.807000160E0,9.843702411E0
2.433052461E0,4.880000055E-1,-6.990000010E-1,9.826000214E0,9.862911599E0
2.443054308E0,5.170000196E-1,-6.600000262E-1,9.854000092E0,9.889600945E0
2.453052461E0,4.589999914E-1,-7.469999790E-1,9.758999825E0,9.798304319E0
2.463054461E0,5.070000291E-1,-7.369999886E-1,9.786999702E0,9.827796355E0
2.473058154E0,5.070000291E-1,-7.179999948E-1,9.883000374E0,9.922009343E0
2.483047615E0,4.499999881E-1,-7.469999790E-1,9.854000092E0,9.892513673E0
2.493067923E0,5.070000291E-1,-6.990000010E-1,9.796999931E0,9.834981326E0
